461	258	4	885355735
118	100	5	875384751
864	77	4	888891627
795	710	3	881265617
835	134	3	891033927
474	161	4	887926633
301	122	2	882074818
405	731	3	885546202
159	1092	2	880989744
500	1160	5	883865483
846	770	5	883948606
666	502	3	880567883
318	1012	4	884471076
796	564	1	893194929
622	82	3	882670767
373	181	5	877099178
905	475	3	884984329
618	176	4	891307426
846	562	5	883950463
141	346	1	886447613
486	304	3	879874186
95	62	4	879196354
921	1	3	879379601
214	127	4	891542986
456	963	4	881374047
95	71	5	880573288
92	466	4	875811549
790	158	2	885157797
361	949	4	879440774
632	184	5	879458277
61	327	2	891206407
280	222	3	891700624
301	186	4	882076121
292	1050	4	881105778
339	475	5	891032856
435	109	4	884132297
880	55	3	880167778
577	307	3	890089564
291	1012	4	874805892
299	190	5	877881356
747	664	2	888638876
907	147	5	885862325
385	664	3	879445335
59	380	3	888205956
868	1035	1	877107817
393	724	3	889729159
271	211	5	885849164
395	288	2	886481149
378	428	3	880055101
542	181	4	886532359
151	162	5	879528779
650	969	3	891371186
392	1012	4	891038184
924	2	3	886759997
450	568	4	882397939
144	303	4	888103407
875	461	4	876466687
889	1113	5	880182295
542	763	4	886533253
145	240	5	875270764
671	1491	1	884034132
49	557	3	888066394
243	26	3	879988459
7	543	3	891351772
882	180	4	879865307
892	79	5	886609622
790	391	2	885158299
896	69	5	887158768
345	1023	2	884994658
145	928	3	879161848
326	483	5	879874963
279	469	4	884982881
308	436	4	887739257
234	603	4	892333573
308	28	3	887737036
110	385	3	886988574
84	79	4	883453520
537	196	3	886030831
504	214	4	887840764
588	272	5	890014748
234	501	4	892334543
350	168	5	882346847
197	184	1	891409981
865	7	5	880143425
858	323	2	879459926
933	597	1	874939230
711	729	3	879994413
429	161	3	882385934
774	175	3	888555897
592	294	3	882607434
698	330	4	886365606
504	411	4	887831447
907	869	5	880160123
457	161	4	882397829
788	301	2	880867855
696	310	4	886403673
279	1492	4	888430806
64	8	4	889737968
447	180	5	878855989
308	65	3	887738301
664	58	4	876525292
567	514	5	882425701
405	199	1	885546025
690	25	3	881177430
62	676	3	879372633
315	187	4	879799423
919	690	3	885059658
346	22	5	874948059
344	433	4	884901517
13	892	3	882774224
